n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
201,true,10196331,10415968,5280956,13225834,2741,400,1.5894229412078857
202,true,10352182,10573898,5377581,13394842,2755,402,1.6383841037750244
203,true,10494789,10718520,5454108,13549218,2771,404,1.7768421173095703
204,true,10687208,10913697,5577293,13757066,2789,406,1.6608660221099854
205,true,10813345,11041612,5641334,13892742,2805,408,1.6951680183410645
206,true,10984466,11215210,5749575,14076398,2823,410,1.7098748683929443
207,true,11143663,11376869,5838147,14247112,2843,412,1.7300519943237305
208,true,11356528,11593004,5976414,14474876,2865,414,1.7661221027374268
209,true,11479079,11716990,6037650,14604918,2877,416,1.7831637859344482
210,true,11646052,11886046,6143433,14781794,2891,418,1.8012290000915527
211,true,11798279,12040276,6227500,14942866,2907,420,1.9524738788604736
212,true,12003938,12248697,6361873,15160114,2925,422,1.8615951538085938
213,true,12138255,12384770,6432196,15301506,2941,424,1.856369972229004
214,true,12320748,12569732,6550033,15493298,2959,426,1.9042279720306396
215,true,12489945,12741369,6646683,15671048,2979,428,1.9021530151367188
216,true,12716660,12971350,6796876,15908824,3001,430,1.9352498054504395
217,true,12850741,13107083,6866917,16048692,3017,432,1.9585371017456055
218,true,13033196,13291889,6985284,16238760,3035,434,2.105847120285034
219,true,13200205,13461192,7080794,16412694,3055,436,2.015428066253662
220,true,13425268,13689363,7230935,16646750,3077,438,2.0389821529388428
221,true,13572867,13838999,7311383,16799904,3097,440,2.0552408695220947
222,true,13772818,14041753,7443318,17007084,3119,442,2.071652889251709
223,true,13958909,14230643,7553031,17199976,3143,444,2.0886290073394775
224,true,14207376,14482792,7720818,17457124,3169,446,2.263108968734741
225,true,14349207,14626132,7796680,17602898,3181,448,2.1330249309539795
226,true,14542368,14821492,7924061,17801266,3195,450,2.160064935684204
227,true,14718211,14999440,8026682,17981846,3211,452,2.183656930923462
228,true,14955758,15239901,8187697,18225570,3229,454,2.2197771072387695
229,true,15110631,15396612,8273878,18384150,3245,456,2.2448740005493164
230,true,15321042,15609620,8414939,18599422,3263,458,2.4137651920318604
231,true,15515863,15806999,8531987,18798848,3283,460,2.279075860977173
232,true,15776952,16071526,8711084,19065848,3305,462,2.3134381771087646
233,true,15931141,16227439,8796621,19222948,3321,464,2.3382420539855957
234,true,16140950,16439715,8937780,19436592,3339,466,2.3648300170898438
235,true,16332727,16633890,9053010,19631998,3359,468,2.5329208374023438
236,true,16591216,16895643,9231331,19895174,3381,470,2.416459083557129
237,true,16760403,17066951,9328683,20067240,3401,472,2.429090976715088
238,true,16989654,17299137,9485224,20300232,3423,474,2.464940071105957
239,true,17202749,17515155,9616701,20517036,3447,476,2.4901909828186035
240,true,17487368,17803636,9815142,20806348,3473,478,2.679666042327881
241,true,17650765,17968739,9907809,20971724,3489,480,2.5673999786376953
242,true,17873150,18193583,10059640,21196744,3507,482,2.5969440937042236
243,true,18075691,18398496,10183636,21401874,3527,484,2.59553599357605
244,true,18349054,18675111,10374883,21678598,3549,486,2.6674938201904297
245,true,18527325,18855467,10479503,21858928,3569,488,2.7862708568573
246,true,18769270,19100323,10647066,22103580,3591,490,2.6954379081726074
247,true,18993401,19327337,10787783,22330512,3615,492,2.7012479305267334
248,true,19293420,19631194,10999848,22634096,3641,494,2.742238998413086
249,true,19470499,19810234,11103402,22812870,3661,496,2.899221897125244
250,true,19711200,20053704,11270553,23055834,3683,498,2.7919070720672607
251,true,19931335,20276548,11408678,23278350,3707,500,2.8206779956817627
252,true,20227692,20576553,11619129,23577778,3733,502,2.8477139472961426
253,true,20421817,20773090,11736320,23773914,3757,504,2.8931100368499756
254,true,20684498,21039066,11921105,24039226,3783,506,3.0189850330352783
255,true,20928803,21286667,12077983,24286392,3811,508,2.925286054611206
256,true,21254656,21616832,12311514,24615860,3841,510,2.9658539295196533
257,true,21439831,21803672,12344666,24987222,3845,512,3.0065059661865234
258,true,21691822,22058104,12444638,25489660,3851,514,3.1734261512756348
259,true,21920909,22289512,12504687,25942968,3859,516,3.0986709594726562
260,true,22230202,22602037,12636823,26551966,3869,518,3.187535047531128
