n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
127,true,7547209,1369743,4046851,1573191,1639,252,0.44293689727783203
128,true,7547840,1370208,4047056,1573261,1665,254,0.4388589859008789
129,true,29106693,5958713,17811965,6926280,1669,256,1.8931879997253418
130,true,37394204,7723773,23106130,8985120,1675,258,2.5702710151672363
131,true,39522150,8177761,24467441,9514516,1683,260,2.7428951263427734
132,true,42596322,8833566,26433788,10279203,1693,262,2.813239097595215
133,true,42904746,8898595,26628213,10354810,1701,264,2.842162847518921
134,true,43341692,8992571,26909058,10464024,1711,266,2.8629908561706543
135,true,43913259,9115229,27276323,10606845,1723,268,2.9076409339904785
136,true,44619376,9266836,27730008,10783273,1737,270,2.9534878730773926
137,true,44695864,9276305,27757735,10794053,1745,272,2.959923028945923
138,true,44766774,9290029,27797794,10809628,1755,274,2.953732967376709
139,true,44847837,9307735,27850185,10829998,1767,276,2.968769073486328
140,true,44948430,9329698,27914908,10855163,1781,278,2.9623098373413086
141,true,45035223,9347407,27967299,10875533,1793,280,2.9654271602630615
142,false,45134526,9369375,28032022,10900698,1807,282,2.977509021759033
143,true,45252802,9395321,28109077,10930658,1823,284,2.981637954711914
144,true,45389976,9425528,28198464,10965413,1841,286,2.992666006088257
145,true,45540224,9427071,28202377,10966932,1849,288,2.987426996231079
146,true,45599754,9429349,28208038,10969130,1859,290,2.9909069538116455
147,true,45621111,9432073,28215447,10972007,1871,292,2.996344804763794
148,false,45650118,9435534,28224604,10975563,1885,294,2.9908039569854736
149,true,45668293,9438261,28232013,10978440,1897,296,2.9949469566345215
150,true,45682598,9441727,28241170,10981996,1911,298,2.994499921798706
151,true,45699860,9445635,28252075,10986231,1927,300,2.996532917022705
152,true,45720000,9450284,28264728,10991145,1945,302,2.9954521656036377
153,true,45768893,9453017,28272137,10994022,1957,304,3.001617908477783
154,true,45793036,9456493,28281294,10997578,1971,306,3.000221014022827
155,true,45809968,9460407,28292199,11001813,1987,308,3.135183095932007
156,true,45830138,9465066,28304852,11006727,2005,310,3.007051944732666
