n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
111,true,5116496,952266,2846342,1106476,1228,221,0.3161628246307373
112,true,5117800,952387,2846507,1106532,1250,223,0.3136470317840576
113,true,5179841,952430,2846552,1106546,1260,225,0.3129909038543701
114,true,5220485,952499,2846637,1106574,1274,227,0.3138749599456787
115,true,5224893,952568,2846722,1106602,1288,229,0.31426501274108887
116,true,5237512,952663,2846847,1106644,1306,231,0.3176281452178955
117,false,5241030,952732,2846932,1106672,1320,233,0.3134942054748535
118,true,5242051,952827,2847057,1106714,1338,235,0.3166348934173584
119,true,5243014,952922,2847182,1106756,1356,237,0.3201291561126709
120,true,5244664,953043,2847347,1106812,1378,239,0.3124368190765381
121,true,5261674,953112,2847432,1106840,1392,241,0.3188059329986572
122,true,5270521,953207,2847557,1106882,1410,243,0.32054901123046875
123,true,5270938,953302,2847682,1106924,1428,245,0.31858205795288086
124,false,5272622,953423,2847847,1106980,1450,247,0.31792402267456055
125,true,5276413,953518,2847972,1107022,1468,249,0.3167300224304199
126,true,5276955,953639,2848137,1107078,1490,251,0.31797003746032715
127,true,5277435,953760,2848302,1107134,1512,253,0.3194711208343506
128,true,5278066,953907,2848507,1107204,1538,255,0.3182659149169922
129,true,16887464,3424536,10260386,3989601,1540,257,1.1036739349365234
130,true,25174975,5189273,15554551,6048441,1546,259,1.6765599250793457
131,true,26356562,5441380,16310826,6342546,1552,261,1.7521121501922607
132,true,29430734,6096857,18277173,7107233,1562,263,1.9590427875518799
133,false,29602059,6132874,18385178,7149233,1568,265,1.9694809913635254
134,true,30039005,6226517,18666023,7258447,1578,267,2.0044960975646973
135,true,30475885,6320160,18946868,7367661,1588,269,2.027017831802368
136,true,31182002,6471429,19400553,7544089,1602,271,2.079056978225708
137,true,31224365,6476576,19415948,7550074,1608,273,2.075124979019165
138,true,31295275,6489957,19456007,7565649,1618,275,2.0838088989257812
139,true,31356667,6503338,19496066,7581224,1628,277,2.084959030151367
140,true,31457260,6524953,19560789,7606389,1642,279,2.092392921447754
141,true,31522454,6538334,19600848,7621964,1652,281,2.0986990928649902
142,true,31621757,6559949,19665571,7647129,1666,283,2.1067800521850586
143,true,31720990,6581564,19730294,7672294,1680,285,2.105762004852295
144,true,31858164,6611413,19819681,7707049,1698,287,2.345834970474243
145,true,31939845,6612150,19821846,7707889,1704,289,2.2298800945281982
